user,day,severity,severity_score,role,department,reasons
AME1490,2010-09-01,Critical,11.0,StockroomClerk,3 - Assembly,off hours logon count unusually high for this user (z=2.7) — would not flag below 0.9 (actual: 1); off hours usb count unusually high for this user (z=2.9) — would not flag below 1.7 (actual: 2); distinct pcs unusually high for this user (z=4.3) — would not flag below 1.6 (actual: 2); logon count unusually high for this user (z=3.7) — would not flag below 3.4 (actual: 4); Flagged as multivariate outlier by anomaly model
ACM2278,2010-08-13,Critical,11.0,Salesman,2 - Sales,off hours logon count unusually high for this user (z=5.8) — would not flag below 0.4 (actual: 1); off hours usb count unusually high for this user (z=4.7) — would not flag below 1.1 (actual: 2); usb connect count unusually high for this user (z=4.7) — would not flag below 1.1 (actual: 2); logon count unusually high for this user (z=2.7) — would not flag below 2.9 (actual: 3); Flagged as multivariate outlier by anomaly model
ACM2278,2010-08-25,Critical,11.0,Salesman,2 - Sales,off hours logon count unusually high for this user (z=5.8) — would not flag below 0.4 (actual: 1); off hours usb count unusually high for this user (z=9.5) — would not flag below 1.1 (actual: 4); usb connect count unusually high for this user (z=9.5) — would not flag below 1.1 (actual: 4); logon count unusually high for this user (z=2.7) — would not flag below 2.9 (actual: 3); Flagged as multivariate outlier by anomaly model
JHK3122,2011-04-05,Critical,11.0,Physicist,2 - Research,off hours logon count unusually high for this user (z=3.2) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=6.7) — would not flag below 1.2 (actual: 3); distinct pcs unusually high for this user (z=5.9) — would not flag below 1.4 (actual: 2); logon count unusually high for this user (z=4.1) — would not flag below 3.2 (actual: 4); Flagged as multivariate outlier by anomaly model
CRM0139,2011-02-24,Critical,11.0,LabManager,2 - Research,off hours logon count unusually high for this user (z=4.4) — would not flag below 1.2 (actual: 2); off hours usb count unusually high for this user (z=3.3) — would not flag below 1.6 (actual: 2); distinct pcs unusually high for this user (z=3.4) — would not flag below 2.5 (actual: 3); logon count unusually high for this user (z=4.9) — would not flag below 3.2 (actual: 5); Flagged as multivariate outlier by anomaly model
EYD2871,2011-02-25,Critical,11.0,ProductionLineWorker,3 - Assembly,off hours logon count unusually high for this user (z=3.3) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=5.2) — would not flag below 1.5 (actual: 3); distinct pcs unusually high for this user (z=3.9) — would not flag below 1.7 (actual: 2); logon count unusually high for this user (z=3.8) — would not flag below 3.3 (actual: 4); Flagged as multivariate outlier by anomaly model
RMD0792,2010-10-21,Critical,11.0,ElectricalEngineer,4 - Engineering,off hours logon count unusually high for this user (z=2.9) — would not flag below 0.9 (actual: 1); off hours usb count unusually high for this user (z=4.8) — would not flag below 0.5 (actual: 1); distinct pcs unusually high for this user (z=2.9) — would not flag below 1.9 (actual: 2); logon count unusually high for this user (z=3.9) — would not flag below 2.4 (actual: 3); Flagged as multivariate outlier by anomaly model
EYD2871,2010-08-09,Critical,11.0,ProductionLineWorker,3 - Assembly,off hours logon count unusually high for this user (z=3.3) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=7.0) — would not flag below 1.5 (actual: 4); distinct pcs unusually high for this user (z=3.9) — would not flag below 1.7 (actual: 2); logon count unusually high for this user (z=3.8) — would not flag below 3.3 (actual: 4); Flagged as multivariate outlier by anomaly model
EYD2871,2010-04-26,Critical,11.0,ProductionLineWorker,3 - Assembly,off hours logon count unusually high for this user (z=3.3) — would not flag below 0.8 (actual: 1); off hours usb count unusually high for this user (z=3.4) — would not flag below 1.5 (actual: 2); distinct pcs unusually high for this user (z=3.9) — would not flag below 1.7 (actual: 2); logon count unusually high for this user (z=3.8) — would not flag below 3.3 (actual: 4); Flagged as multivariate outlier by anomaly model
BBT0062,2010-01-06,Critical,11.0,LabManager,2 - Research,off hours logon count unusually high for this user (z=2.9) — would not flag below 0.9 (actual: 1); off hours usb count unusually high for this user (z=3.6) — would not flag below 0.7 (actual: 1); distinct pcs unusually high for this user (z=5.2) — would not flag below 1.5 (actual: 2); logon count unusually high for this user (z=4.9) — would not flag below 2.1 (actual: 3); Flagged as multivariate outlier by anomaly model
